City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
133,Ahipara,NZ,-35.17,173.17,64.63,75,43,10.02,scattered clouds
134,Mayo,US,38.89,-76.51,46.4,39,1,5.82,clear sky
135,Puri,IN,19.8,85.85,64.4,93,82,6.35,mist
136,Hithadhoo,MV,-0.6,73.08,82.2,79,76,19.3,broken clouds
137,Faanui,PF,-16.48,-151.75,80.8,76,78,13.4,light rain
138,Atar,MR,20.52,-13.05,69.69,40,47,1.54,scattered clouds
139,Blackfoot,US,43.19,-112.34,35.6,51,20,5.82,few clouds
140,East London,ZA,-33.02,27.91,60.57,74,34,6.89,scattered clouds
141,Vila Franca Do Campo,PT,37.72,-25.43,60.8,77,40,21.92,scattered clouds
142,Porbandar,IN,21.64,69.61,74.71,40,0,6.91,clear sky
143,Rovnoye,RU,50.78,46.05,10.65,91,1,7.83,clear sky
144,Narasannapeta,IN,18.42,84.05,68.34,70,80,5.97,broken clouds
145,San Lazaro,BZ,18.04,-88.66,77.0,83,90,8.05,overcast clouds
146,Kanniyakumari,IN,8.08,77.57,78.89,72,100,15.61,overcast clouds
147,Longyearbyen,SJ,78.22,15.64,14.0,85,90,17.22,light snow
148,San Patricio,US,28.02,-97.52,73.4,64,75,10.29,broken clouds
149,Loncoche,CL,-39.37,-72.63,60.8,51,4,11.41,clear sky
150,Erzurum,TR,40.0,41.5,21.2,100,0,1.5,fog
151,Rundu,NA,-17.93,19.77,72.54,75,62,1.97,broken clouds
152,Puerto Escondido,MX,15.85,-97.07,84.2,66,20,5.82,few clouds
153,Kuruman,ZA,-27.45,23.43,68.18,23,0,3.89,clear sky
154,Jinxiang,CN,27.43,120.61,54.34,74,13,11.5,few clouds
155,Coromandel,BR,-18.47,-47.2,72.79,71,63,3.98,broken clouds
156,Bambous Virieux,MU,-20.34,57.76,78.01,94,75,5.82,shower rain
157,Niquelandia,BR,-14.47,-48.46,76.66,57,22,1.61,few clouds
158,Kahului,US,20.89,-156.47,86.0,48,20,13.87,few clouds
159,Mayumba,GA,-3.43,10.66,76.89,86,87,1.41,overcast clouds
160,Seymchan,RU,62.88,152.43,-24.48,84,9,1.01,clear sky
161,Dekar,BW,-21.53,21.93,77.61,18,31,9.8,scattered clouds
162,Hambantota,LK,6.12,81.12,78.53,79,100,20.98,overcast clouds
163,Dikson,RU,73.51,80.55,23.18,93,100,27.54,overcast clouds
164,Honiara,SB,-9.43,159.95,80.6,83,40,6.93,light rain
165,Nouadhibou,MR,20.93,-17.03,69.8,83,57,6.93,broken clouds
166,Namibe,AO,-15.2,12.15,68.81,78,36,6.08,scattered clouds
167,Alta Floresta,BR,-9.88,-56.09,76.87,78,96,3.67,overcast clouds
168,Shetpe,KZ,44.17,52.12,25.27,94,67,6.64,broken clouds
169,Ajaccio,FR,42.0,8.92,42.8,93,0,4.7,clear sky
170,Baoqing,CN,46.33,132.21,4.96,91,0,7.02,clear sky
171,Esperance,AU,-33.87,121.9,57.2,93,0,5.82,clear sky
172,Bethel,US,41.37,-73.41,39.2,60,90,10.29,overcast clouds
173,Luderitz,NA,-26.65,15.16,59.0,67,0,16.11,clear sky
174,Batemans Bay,AU,-35.72,150.18,64.99,88,98,1.99,overcast clouds
175,Alice Springs,AU,-23.7,133.88,82.0,23,0,11.41,clear sky
176,Mwingi,KE,-0.93,38.06,65.62,89,83,1.03,broken clouds
177,Saint-Augustin,CA,51.23,-58.65,41.13,95,98,18.48,overcast clouds
178,Aksu,CN,41.12,80.26,18.82,89,31,2.59,scattered clouds
179,Thompson,CA,55.74,-97.86,23.0,85,40,5.82,scattered clouds
180,Ulaangom,MN,49.98,92.07,1.71,88,69,4.41,broken clouds
181,Haputale,LK,6.77,80.96,61.68,100,100,4.72,overcast clouds
182,Thyboron,DK,56.7,8.21,37.0,89,100,1.99,overcast clouds
183,Guerrero Negro,MX,27.98,-114.06,75.54,19,6,10.09,clear sky
184,Madison,US,34.73,-86.57,43.0,48,1,3.36,clear sky
185,Poli,TZ,-3.33,36.8,60.3,92,100,4.99,overcast clouds
186,Aklavik,CA,68.22,-135.01,8.6,84,75,6.93,broken clouds
187,Ugoofaaru,MV,5.67,73.0,82.4,76,98,12.91,light rain
188,Teahupoo,PF,-17.83,-149.27,82.4,74,75,16.11,shower rain
189,Harper,LR,4.38,-7.72,78.37,86,67,5.3,light rain
190,Saint-Pierre,RE,-21.34,55.48,73.4,78,0,6.93,clear sky
191,Kumluca,TR,36.37,30.29,61.03,64,75,6.4,moderate rain
192,Port-Cartier,CA,50.03,-66.87,37.0,100,100,4.7,overcast clouds
193,Tingi,TZ,-11.3,35.03,67.84,81,83,7.49,broken clouds
194,Georgetown,MY,5.41,100.34,78.8,88,40,3.36,scattered clouds
195,Rincon,US,32.3,-81.24,53.6,37,1,4.7,clear sky
196,Mayachnyy,RU,52.68,55.69,3.2,94,28,5.91,scattered clouds
197,Berlevag,NO,70.86,29.09,28.4,79,20,35.57,few clouds
198,Tuatapere,NZ,-46.13,167.68,53.01,71,85,14.0,overcast clouds
199,Hunucma,MX,21.02,-89.87,80.6,54,75,9.17,broken clouds
200,Hasaki,JP,35.73,140.83,45.0,100,75,9.17,mist
201,Kodiak,US,57.79,-152.41,30.2,54,1,14.99,clear sky
202,Santa Maria,BR,-29.68,-53.81,71.6,100,90,9.17,moderate rain
203,Shitkino,RU,56.37,98.35,3.92,93,86,4.5,overcast clouds
204,Hamilton,US,39.18,-84.53,36.0,74,26,2.55,scattered clouds
205,Umm Lajj,SA,25.02,37.27,70.05,45,19,8.77,few clouds
206,Ayan,RU,56.45,138.17,8.11,83,95,13.53,overcast clouds
207,Pokhara,NP,28.23,83.98,55.47,55,0,4.0,clear sky
208,Jaisalmer,IN,26.91,70.92,62.6,28,43,2.71,scattered clouds
209,Pevek,RU,69.7,170.31,-12.35,86,0,5.93,clear sky
210,Teresopolis,BR,-22.41,-42.97,77.0,78,75,10.29,broken clouds
211,Bubaque,GW,11.28,-15.83,80.83,73,80,13.31,broken clouds
212,Forest Hills,US,42.96,-85.49,39.99,51,20,12.75,few clouds
