City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
513,Porto Velho,BR,80.6,broken clouds,-8.76,-63.9,Hotel Vila Rica Porto Velho
516,Ixtapa,MX,80.6,few clouds,20.7,-105.2,Container Inn Puerto Vallarta
530,Cochabamba,BO,75.2,broken clouds,-17.39,-66.16,Hotel Aranjuez Cochabamba
531,Yenagoa,NG,76.5,clear sky,4.92,6.26,Amba Hotels Limited
537,Jacqueville,CI,82.4,scattered clouds,5.21,-4.41,Hotel Le Martin Pecheur
543,Les Cayes,HT,77.4,overcast clouds,18.2,-73.75,Villa Orphee
545,Samana,DO,78.8,broken clouds,19.21,-69.34,The Bannister - Hotel & Yacht Club
547,Gboko,NG,79.88,broken clouds,7.32,9.0,Bays Garden Hotel
550,Mapili,PH,76.86,overcast clouds,11.11,122.74,Aguilar's
551,Matara,LK,77.59,overcast clouds,5.95,80.54,Amaloh Boutique Resort
555,San Cristobal,VE,84.2,light rain,7.77,-72.22,Pirineos
559,Campoalegre,CO,76.1,light rain,2.68,-75.32,Hospedaje Rosa Real
562,Malakal,SS,75.22,clear sky,9.53,31.66,Nile Palace Hotel
563,Mackay,AU,82.4,broken clouds,-21.15,149.2,International Lodge Motel
564,Oistins,BB,75.2,broken clouds,13.07,-59.53,Butterfly Beach Hotel
566,Kerema,PG,83.62,overcast clouds,-7.96,145.78,Frena Lodge
576,Colimes,EC,84.2,moderate rain,-1.55,-80.02,"Casa de Retiro ""JESÚS DE LA DIVINA MISERICORDIA"""
586,Lobito,AO,76.91,overcast clouds,-12.35,13.55,Casa Rosa Hotel Residence
587,Mahibadhoo,MV,82.72,overcast clouds,3.78,72.97,Omadhoo Inn
592,Buritis,BR,78.19,broken clouds,-15.62,-46.42,Hotel Rainha do Vale
593,Santa Cruz,BO,87.8,scattered clouds,-17.8,-63.17,Hotel Cortez
595,Rio Verde De Mato Grosso,BR,81.9,broken clouds,-18.92,-54.84,Hotel Valência
600,Ahuimanu,US,82.4,scattered clouds,21.44,-157.84,Paradise Bay Resort
602,Dhidhdhoo,MV,82.47,overcast clouds,6.88,73.1,Dhidhoo beach
604,Catio,GW,76.35,scattered clouds,11.28,-15.25,Pausada Morabedja
608,Nhulunbuy,AU,86.0,broken clouds,-12.23,136.77,East Arnhem Real Estate
